NRO,sukunimi,etunimet,ehdokasnimi,liitto
2,Apajalahti,Ahto Aleksis,"Apajalahti, Ahto",Akateemiset piraatit
3,Hanski,Joni Petteri,"Hanski, Joni",Akateemiset piraatit
4,Mäkinen,Joonas Mikael,"Mäkinen, Joonas",Akateemiset piraatit
5,Söderholm,Charlotta Mari,"Söderholm, Lotta",Akateemiset piraatit
6,Toivanen,Anni Julia,"Toivanen, Julia",Tsemppi Group
7,Liu,Tianyan,"Liu, Tianyan",Tsemppi Group
8,Long,Feiran,"Long, Feiran",Tsemppi Group
9,Bessonova,Anna,"Bessonova, Anna",Tsemppi Group
10,Rasmussen,Søren Berg,"Rasmussen, Søren",Tsemppi Group
11,Leinius,Johanna,"Leinius, Johanna",Tsemppi Group
12,Gagné,Stéphanie,"Gagné, Stéphanie",Tsemppi Group
13,Franchin,Alessandro,"Franchin, Alessandro",Tsemppi Group
14,Helenius,Marja-Liisa,"Helenius, Marja-Liisa",Tsemppi Group
15,Chenna,Naveen Kumay,"Chenna, Naveen",Tsemppi Group
16,Arohi,Anupam,"Arohi, Anupam",Tsemppi Group
17,Laster,Zachary Howell,"Laster, Zach",Tsemppi Group
18,Diatlova,Anastasia,"Diatlova, Nastia",Tsemppi Group
19,Hossain,Shakhawat,"Hossain, Shakhawat",Tsemppi Group
20,Strickman,Rachel Jean,"Strickman, Rachel",Tsemppi Group
21,Boldt,Hildur Merja Johanna,"Boldt, Hildur",Opiskelijademarit
22,Eriksson-Bique,Sylvester Daniel,"Eriksson-Bique, Sylvester",Opiskelijademarit
23,Erra,Martti Kaipia Johannes,"Erra, Johannes",Opiskelijademarit
24,Iso-Lotila,Joona Risti Mikael,"Iso-Lotila, Joona",Opiskelijademarit
25,Heinäluoma,Ida Anniina,"Heinäluoma, Ida",Opiskelijademarit
26,Häkkinen,Anssi Ilari,"Häkkinen, Anssi",Opiskelijademarit
27,Häkkinen,Juha Petteri,"Häkkinen, Juha",Opiskelijademarit
28,Häkkinen,Satu-Maria,"Häkkinen, Satu-Maria",Opiskelijademarit
29,Hytti,Simo Antti Juhani,"Hytti, Antti",Opiskelijademarit
30,Jalava,Tuomas Joonatan,"Jalava, Tuomas",Opiskelijademarit
31,Juntumaa,Inari Julia,"Juntumaa, Inari",Opiskelijademarit
32,Kammonen,Veli Viljami Matias,"Kammonen, Viljami",Opiskelijademarit
33,Korkeela,Tiina Tytti Unelma,"Korkeela, Tiina",Opiskelijademarit
34,Kuisma,Jukka Kusti,"Kuisma, Jukka",Opiskelijademarit
35,Laukia,Joonas Patrik Antero,"Laukia, Joonas",Opiskelijademarit
36,Lehmijoki,Anna Marja,"Lehmijoki, Marja",Opiskelijademarit
37,Lipponen,Päivi Elisa,"Lipponen, Elisa",Opiskelijademarit
38,Lähdesmäki,Sini Pauliina,"Lähdesmäki, Sini",Opiskelijademarit
39,Meltti,Sonia Margot,"Meltti, Sonia",Opiskelijademarit
40,Muona,Marianne Kristiina,"Muona, Marianne",Opiskelijademarit
41,Niemi,Matti Nestori,"Niemi, Matti",Opiskelijademarit
42,Ortiz-Nieminen,Oscar Antonio,"Ortiz-Nieminen, Oscar",Opiskelijademarit
43,Papunen,Erkki Tapani,"Papunen, Erkki",Opiskelijademarit
44,Penny,Kaisa Emilia,"Penny, Kaisa",Opiskelijademarit
45,Sauli,Mikko Juhani,"Sauli, Mikko",Opiskelijademarit
46,Selinummi,Elisa Josefiina,"Selinummi, Elisa",Opiskelijademarit
47,Sihto,Ville Matti Hjalmat,"Sihto, Ville",Opiskelijademarit
48,Tuominen,Pekka Kalervo Johannes,"Tuominen, Pekka",Opiskelijademarit
49,Vaara,Piia Liisa Marianne,"Vaara, Piia",Opiskelijademarit
50,Välimäki,Heta Misteli,"Välimäki, Heta",Opiskelijademarit
51,Wäänänen,Matti Lauri Oskari,"Wäänänen, Oskari",Opiskelijademarit
52,Ylianttila,Anu Pauliina,"Ylianttila, Anu",Opiskelijademarit
53,Aalto,Maria Josefina,"Aalto, Maria",Kokoomusopiskelijat 1
54,Ahlman,Lotta Emilia,"Ahlman, Lotta",Kokoomusopiskelijat 1
55,Ahonen,Antti Juhani,"Ahonen, Antti Juhani",Kokoomusopiskelijat 1
56,Artjoki,Kaarlo Emil Artturi,"Artjoki, Emil ",Kokoomusopiskelijat 1
57,Auvinen,Tuomas Aleksanteri Villenpoika,"Auvinen, Tuomas",Kokoomusopiskelijat 1
58,Brand,Thomas Leo,"Brand, Thomas",Kokoomusopiskelijat 1
59,Erämaja,Kari Markku Elias,"Erämaja, Elias",Kokoomusopiskelijat 1
60,Fils,Helen Henrika,"Fils, Helen",Kokoomusopiskelijat 1
61,Freyberg,Carl Henrik Ferdinand,"Freyberg, Carl",Kokoomusopiskelijat 1
62,Haapala,Johanna Elisa,"Haapala, Johanna",Kokoomusopiskelijat 1
63,Haapalehto,Eero Samuli,"Haapalehto, Eero",Kokoomusopiskelijat 1
64,Hietanen,Ville Ilmari,"Hietanen, Ville I.",Kokoomusopiskelijat 1
65,Holopainen,Lasse,"Holopainen, Lasse",Kokoomusopiskelijat 1
66,Häkkänen,Antti Edvard,"Häkkänen, Antti",Kokoomusopiskelijat 1
67,Hämäläinen,Harri Veikko Tapani,"Hämäläinen, Harri",Kokoomusopiskelijat 1
68,Hämäläinen,Jani Antero,"Hämäläinen, Jani",Kokoomusopiskelijat 1
69,Hämäläinen,Maisa-Leena Maria,"Hämäläinen, Maisa",Kokoomusopiskelijat 1
70,Hämäläinen,Tuukka Santeri,"Hämäläinen, Tuukka",Kokoomusopiskelijat 1
71,Härkönen,Miika Juhani,"Härkönen, Miika 'Härkönen'",Kokoomusopiskelijat 1
72,Josefsson,Kim Henrik,"Josefsson, Kim",Kokoomusopiskelijat 1
73,Juurinen,Paula-Maria Päivikki,"Juurinen, Paula",Kokoomusopiskelijat 1
74,Jäntti,Maija Elina,"Jäntti, Maija",Kokoomusopiskelijat 1
75,Kainulainen,Toni Juhani,"Kainulainen, Toni",Kokoomusopiskelijat 1
76,Kaksonen,Kai-Verneri,"Kaksonen, Kai",Kokoomusopiskelijat 1
77,Kangas,Tanja Marita,"Kangas, Tanja",Kokoomusopiskelijat 1
78,Karppinen,Henriikka Vilhelmiina,"Karppinen, Henriikka",Kokoomusopiskelijat 1
79,Keriö,Annika Emilia,"Keriö, Annika",Kokoomusopiskelijat 1
80,Koivunen,Anna Emilia,"Koivunen, Anna",Kokoomusopiskelijat 1
81,Kostamo,Lassi Juhani,"Kostamo, Lassi",Kokoomusopiskelijat 1
82,Kozlov,Margarita,"Kozlov, Margarita",Kokoomusopiskelijat 1
83,Kransman,Alex Peter,"Kransman, Alex",Kokoomusopiskelijat 1
84,Kuitunen,Anita Birgitta,"Kuitunen, Anita",Kokoomusopiskelijat 1
85,Kuusivuori,Jenni Ilona,"Kuusivuori, Jenni",Kokoomusopiskelijat 1
86,Kymäläinen,Seppo Johannes,"Kymäläinen, Seppo",Kokoomusopiskelijat 1
87,Lahtinen,Marika Pauliina,"Lahtinen, Marika",Kokoomusopiskelijat 1
